Part,Country,Site,Cultural phase/ Dates,Dates,Confidence,Lower Range BC,Lower Range CE,BP,Records,Latitude,Longtitude
Europe,Denmark,Vejleby,Iron Age,0-375 CE,Maybe,0,,1950,1 specimen,55.76339,11.88818
Europe,Germany,Regensburg-Harting,La Tène D2,80-15 BCE,Maybe,80,,2030,3 specimens,49.01343,12.10162
Europe,Germany,Dornach,La Tène D,150-15 BCE,Maybe,150,,2100,1 specimen,48.15,11.68417
Europe,Germany,Dietzenbach,La Tène D1,150-80 BCE,Maybe,150,,2100,Remains from 3 graves,50.01729,8.78696
Europe,France,Ennery,La Tène C2,200-150 BCE,Maybe,200,,2150,10 speciemens,49.22661,6.22458
Eastern Asia,China,Shenmingpu ,Early Han Dynasty,202-141 BCE,Maybe,202,,2152,1 partial skeleton,33,111.416667
Europe,Germany,Ülversheim,La Tène C-D ,250-15 BCE,Maybe,250,,2200,7 specimens,49.80952,8.28793
Europe,Germany,Manching,La Tène C-D2,250-50/30 BCE,No,250,,2200,> 200 specimens,48.71753,11.49406
Europe,Germany,Berching-Pollanten,La Tène C2-D,250-50/30 BCE,No,250,,2200,3 specimens,49.14364,11.45823
Europe,Germany,Altenburg-Rheinau ,La Tène C-D ,280-15 BCE,Maybe,280,,2230,112 specimens,47.647778,8.616389
Europe,Austria,Roseldorf,La Tène C,280-190/150 BCE,No,280,,2230,21 + 2 partial skeletons,48.646,15.92971
Europe,France,Verberie,La Tène C,280/250-190/150 BCE,No,280,,2230,4 specimens,49.31029,2.72747
Europe,France,Vermand,La Tène C,280/250-190/150 BCE,No,280,,2230,29 specimens,49.87808,3.14982
Europe,France,Villers-Saint-Paul,La Tène C,280/250-190/150 BCE,No,280,,2230,3 specimens,49.29017,2.49295
Europe,France,Bobigny,La Tène C,280/250-190/160 BCE,No,280,,2230,5 specimens,48.90861,2.43971
Europe,France,Fontenay-en-Parisis,La Tène C,280/250-190/160 BCE,No,280,,2230,3 specimens,49.05297,2.45132
Europe,France,Varennes-sur-Seine,La Tène C,280/250-190/160 BCE,No,280,,2230,26 specimens,48.37629,2.92918
Europe,France,Villiers-le-Sec,La Tène C,280/250-190/160 BCE,No,280,,2230,1 specimen,48.10845,5.06532
Europe,Spain,El Amarejo,Iron Age II,300 - 100 BCE,Maybe,300,,2250,40 specimens,38.8716,-1.34813
