Part	Country	Site	Cultural phase/ Dates	Dates	Notes on Dating	Confidence	Lower Range BC	Lower Range CE	Lower Range BP	Upper Range BC	Upper Range CE	Upper Range BP	Records	Latitude	Longtitude
Central Africa	Cameroon	Blé Mound B 	N/A	~1,290-1,440 CE		Maybe		1290	660		1440	510	1 specimen	6.21668	11.43334
Central Africa	Cameroon	Blé Mound E 	N/A	~900-1,270 CE		No		900	1050		1270	680	1 specimen	6.21667	11.43333
Central Africa	Congo	Sanga	N/A	~900-1,300 CE		No		900	1050		1300	650	1 skeleton	1.46623	15.40681
Central Africa	Rwanda	Akameru	N/A	~800-1,260 CE		No		800	1150		1260	690	specimens	-1.50346	29.63253
Central Africa	Rwanda	Cyinkomane	N/A	~800-1,300 CE		No		800	1150		1300	650	specimens	-1.50347	29.63254
Central Asia	Uzbekistan	Kurgansol	Persian Period	330-200 BCE 		Maybe	330		2280	200		2150	16 specimens	38.095594	67.184208
Eastern Africa	Comoro islands	Sima	N/A	~1,000-1,100 CE		Maybe		1000	950		1100	850	specimens	-12.21381	44.43706
Eastern Africa	Comoro islands	Domomi 	N/A	~1,000-1,300 CE		No		1000	950		1300	650	specimens	-12.21382	44.43706
Eastern Africa	Comoro islands	Koungou	N/A	~700/800-1,000 CE		No		700	1250		1000	950	specimens	-12.73681	45.20679
Eastern Africa	Comoro islands	Dembeni	N/A	~700/800-1,000 CE		No		700	1250		1000	950	specimens	-12.73682	45.20679
Eastern Africa	Ethiopia	Ona Nagast, Axum	Early Aksumite	~50/40 BCE-140/170 CE		No	50		2000		170	1780	1 specimen	14.13404	38.74730
Eastern Africa	Ethiopia	Mezber	Pre-Aksumite	~747-389 BCE	Directly RCD	Yes	747		2697	389		2339	20 specimens; 10 specimens	14.13403	38.74729
Eastern Africa	Ethiopia	Mezber	Pre-Aksumite	~820-595 BCE	Directly RCD	Yes	820		2770	595		2545	20 specimens; 10 specimens	14.13403	38.74729
Eastern Africa	Ethiopia	Ona Nagast, Axum	Middle Aksumite	~340/370-500/550 CE		No		340	1610		550	1400	3 specimens	14.13404	38.74730
Eastern Africa	Kenya	Pate 	Phase Ia	~750-850 CE		Maybe		750	1200		850	1100	specimen(s)	-2.1	41.05
Eastern Africa	Kenya	Shanga	N/A	~775-850 CE		Maybe		775	1175		850	1100	specimens	-2.283333	40.9
Eastern Africa	Kenya	Chombo	N/A	~775-975 CE		Maybe		775	1175		975	975	specimen(s)	-4.13824	39.60571
Eastern Africa	Kenya	Mgombani	N/A	~600-850 CE		No		600	1350		850	1100	specimen(s)	-1.5461	41.4936
Eastern Africa	Kenya	Manda	N/A	~850-1,250 CE		No		850	1100		1250	700	specimen(s)	-2.256786	40.935551
Eastern Africa	Madagaskar	Andaro	N/A	900-1,300 CE		No		900	1050		1300	650	specimens	-24.65	45.38333
Eastern Africa	Madagaskar	Mahilaka 	Occupation unit Ia	~875-1,000 CE		No		875	1075		1000	950	5 specimens	-13.4	48.283333
Eastern Africa	Madagaskar	Mahilaka 	Occupation unit Ib	~1,000-1,300 CE		No		1000	950		1300	650	8 specimens	-13.4	48.283333
Eastern Africa	Mauritius	Fort Frederik Hendrik		Last quarter of the 17th century CE, possibly even between 1694 and 1698 CE.	Historical Document Specific Date	Yes		1675	275		1698	252	2 specimens	-20.37389	57.72728
Eastern Africa	Mauritius	Bay giving access to Fort Frederik Hendrik	N/A	1639 CE	Historical Document Specific Date	Yes		1639	311		1639	311	written record	-20.37389	57.72728
